timestamp_sec,raw_odom_yaw,raw_imu_yaw,ekf_filtered_yaw,raw_odom_w,raw_imu_w,ekf_filtered_w,raw_odom_v,ekf_filtered_v
516.121,1.2341,2.3989,2.3989,0.0003,0.0,0.0,0.0,0.0
516.168,1.2341,2.399,2.3989,0.0005,0.0,0.0,0.0,0.0
516.225,1.2341,2.399,2.3989,-0.0001,0.0,0.0,0.0,0.0
516.271,1.234,2.3989,2.3989,-0.0012,0.0,-0.0,0.0,0.0
516.316,1.2341,2.399,2.3989,0.0015,0.0,0.0,0.0,0.0
516.366,1.2341,2.3989,2.3989,-0.0002,0.0,0.0,0.0,0.0
516.422,1.234,2.3989,2.3989,-0.0009,0.0,-0.0,0.0,0.0
516.466,1.2341,2.3989,2.3989,0.0005,0.0,0.0,0.0,0.0
516.526,1.2341,2.3989,2.3989,0.0006,0.0,0.0,0.0,0.0
516.572,1.2341,2.3989,2.3989,-0.0001,0.0,0.0,0.0,0.0
516.618,1.234,2.3989,2.3989,-0.0009,0.0,-0.0,0.0,0.0
516.677,1.2341,2.399,2.3989,0.0011,0.0,0.0,0.0,0.0
516.72,1.2341,2.399,2.3989,0.0003,0.0,0.0,0.0,0.0
516.766,1.2341,2.3989,2.3989,-0.0013,0.0,-0.0,0.0,0.0
516.826,1.234,2.3989,2.3989,-0.0005,0.0,-0.0,0.0,0.0
516.871,1.2341,2.399,2.3989,0.0014,0.0,0.0,0.0,0.0
516.917,1.234,2.3989,2.3989,-0.0017,0.0,-0.0,0.0,0.0
516.976,1.234,2.3989,2.3989,-0.0007,0.0,-0.0,0.0,0.0
517.021,1.2341,2.3989,2.3989,0.0013,0.0,0.0,0.0,0.0
517.068,1.2341,2.399,2.3989,0.0008,0.0,0.0,0.0,0.0
517.129,1.2341,2.3989,2.3989,-0.001,0.0,-0.0,0.0,0.0
517.17,1.2341,2.3989,2.3989,0.0003,0.0,0.0,0.0,0.0
517.225,1.2341,2.399,2.3989,0.0008,0.0,0.0,0.0,0.0
517.274,1.2341,2.399,2.3989,0.0006,0.0,0.0,0.0,0.0
517.317,1.2341,2.3989,2.3989,-0.0019,0.0,-0.0,0.0,0.0
517.366,1.234,2.3989,2.3989,-0.0007,0.0,-0.0,0.0,0.0
517.424,1.2341,2.399,2.3989,0.0014,0.0,0.0,0.0,0.0
517.466,1.2341,2.3989,2.3989,-0.0002,0.0,0.0,0.0,0.0
517.525,1.234,2.3989,2.3989,-0.0014,0.0,-0.0,0.0,0.0
517.573,1.2341,2.399,2.3989,0.0018,0.0,0.0,0.0,0.0
517.616,1.2341,2.3989,2.3989,-0.001,0.0,-0.0,0.0,0.0
517.667,1.2341,2.3989,2.3989,-0.0006,0.0,-0.0,0.0,0.0
517.725,1.234,2.3989,2.3989,-0.0002,0.0,-0.0,0.0,0.0
517.767,1.2341,2.3989,2.3989,0.001,0.0,0.0,0.0,0.0
517.826,1.2341,2.3989,2.3989,0.0,0.0,0.0,0.0,0.0
517.866,1.2341,2.3989,2.3989,-0.0003,0.0,-0.0,0.0,0.0
517.926,1.2341,2.3989,2.3989,0.0002,0.0,0.0,0.0,0.0
517.972,1.2341,2.399,2.3989,0.0004,0.0,0.0,0.0,0.0
518.018,1.2341,2.399,2.3989,0.0004,0.0,0.0,0.0,0.0
518.073,1.2341,2.399,2.3989,-0.0006,0.0,-0.0,0.0,0.0
518.12,1.2341,2.3989,2.3989,-0.0007,0.0,-0.0,0.0,0.0
518.166,1.2341,2.3989,2.3989,0.0001,0.0,-0.0,0.0,0.0
518.226,1.2341,2.399,2.3989,0.0007,0.0,0.0,0.0,0.0
518.268,1.2341,2.3989,2.3989,-0.0013,0.0,-0.0,0.0,0.0
518.325,1.2341,2.3989,2.3989,0.0006,0.0,0.0,0.0,0.0
518.372,1.2341,2.3989,2.3989,-0.0005,0.0,-0.0,0.0,0.0
518.416,1.2341,2.3989,2.3989,0.0001,0.0,-0.0,0.0,0.0
518.474,1.2341,2.399,2.3989,0.0007,0.0,0.0,0.0,0.0
518.52,1.234,2.3988,2.3989,-0.0021,0.0,-0.0,0.0,0.0
518.567,1.234,2.3989,2.3989,0.0011,0.0,0.0,0.0,0.0
518.625,1.2341,2.399,2.3989,0.0012,0.0,0.0,0.0,0.0
518.669,1.2341,2.3989,2.3989,-0.0009,0.0,-0.0,0.0,0.0
518.726,1.2341,2.399,2.3989,0.0006,0.0,0.0,0.0,0.0
518.773,1.2341,2.3989,2.3989,-0.0003,0.0,0.0,0.0,0.0
518.821,1.2341,2.3989,2.3989,-0.0003,0.0,-0.0,0.0,0.0
518.868,1.234,2.3989,2.3989,-0.0006,0.0,-0.0,0.0,0.0
518.924,1.2341,2.3989,2.3989,0.0003,0.0,-0.0,0.0,0.0
518.968,1.2341,2.3989,2.3989,0.0004,0.0,0.0,0.0,0.0
519.016,1.2341,2.3989,2.3989,0.0001,0.0,0.0,0.0,0.0
519.074,1.234,2.3989,2.3989,-0.0011,0.0,-0.0,0.0,0.0
519.118,1.2341,2.3989,2.3989,0.0012,0.0,0.0,0.0,0.0
519.166,1.2341,2.3989,2.3989,0.0003,0.0,0.0,0.0,0.0
519.225,1.2341,2.399,2.3989,0.0005,0.0,0.0,0.0,0.0
519.269,1.2341,2.3989,2.3989,-0.0005,0.0,0.0,0.0,0.0
519.317,1.2341,2.399,2.3989,0.0002,0.0,0.0,0.0,0.0
519.375,1.2341,2.3989,2.3989,-0.0003,0.0,-0.0,0.0,0.0
519.419,1.2341,2.3989,2.3989,0.0003,0.0,0.0,0.0,0.0
519.467,1.2341,2.399,2.3989,0.0006,0.0,0.0,0.0,0.0
519.523,1.2341,2.3989,2.3989,-0.0011,0.0,-0.0,0.0,0.0
519.569,1.2341,2.3989,2.3989,0.0002,0.0,-0.0,0.0,0.0
519.616,1.2341,2.399,2.3989,0.0008,0.0,0.0,0.0,0.0
519.673,1.2341,2.3989,2.3989,-0.0011,0.0,-0.0,0.0,0.0
519.72,1.234,2.3989,2.3989,-0.0002,0.0,-0.0,0.0,0.0
519.768,1.2341,2.3989,2.3989,0.0009,0.0,0.0,0.0,0.0
519.825,1.2341,2.399,2.3989,0.0005,0.0,0.0,0.0,0.0
519.87,1.2341,2.3989,2.3989,-0.0011,0.0,-0.0,0.0,0.0
519.916,1.2341,2.3989,2.3989,0.0007,0.0,0.0,0.0,0.0
519.974,1.2341,2.399,2.3989,0.0002,0.0,0.0,0.0,0.0
520.022,1.2341,2.3989,2.3989,-0.0006,0.0,-0.0,0.0,0.0
520.067,1.2341,2.3989,2.3989,-0.0002,0.0,-0.0,0.0,0.0
520.126,1.2341,2.3989,2.3989,0.0001,0.0,-0.0,0.0,0.0
520.17,1.234,2.3989,2.3989,-0.0003,0.0,-0.0,0.0,0.0
520.217,1.2341,2.3989,2.3989,0.0001,0.0,-0.0,0.0,0.0
520.276,1.234,2.3989,2.3989,-0.0002,0.0,-0.0,0.0,0.0
520.323,1.2341,2.3989,2.3989,0.0007,0.0,0.0,0.0,0.0
520.366,1.2341,2.399,2.3989,0.0004,0.0,0.0,0.0,0.0
520.425,1.2341,2.3989,2.3989,-0.0008,0.0,-0.0,0.0,0.0
520.471,1.2341,2.399,2.3989,0.0009,0.0,0.0,0.0,0.0
520.516,1.2341,2.3989,2.3989,-0.0007,0.0,-0.0,0.0,0.0
520.567,1.234,2.3989,2.3989,-0.0006,0.0,-0.0,0.0,0.0
520.623,1.2341,2.3989,2.3989,0.0004,0.0,-0.0,0.0,0.0
520.666,1.2341,2.399,2.3989,0.0009,0.0,0.0,0.0,0.0
520.727,1.2341,2.399,2.3989,-0.0,0.0,0.0,0.0,0.0
520.772,1.2341,2.3989,2.3989,-0.0007,0.0,-0.0,0.0,0.0
520.817,1.2341,2.3989,2.3989,0.0001,0.0,-0.0,0.0,0.0
520.875,1.2341,2.3989,2.3989,0.0004,0.0,0.0,0.0,0.0
520.921,1.2341,2.3989,2.3989,-0.0005,0.0,-0.0,0.0,0.0
520.968,1.2341,2.3989,2.3989,0.0,0.0,-0.0,0.0,0.0
521.024,1.2341,2.3989,2.3989,-0.0001,0.0,-0.0,0.0,0.0
521.071,1.2341,2.399,2.3989,0.0015,0.0,0.0,0.0,0.0
521.117,1.2341,2.399,2.3989,-0.0009,0.0,-0.0,0.0,0.0
521.166,1.2341,2.3989,2.3989,-0.0004,0.0,-0.0,0.0,0.0
521.224,1.2341,2.399,2.3989,0.0007,0.0,0.0,0.0,0.0
521.266,1.2341,2.399,2.3989,-0.0002,0.0,0.0,0.0,0.0
521.324,1.234,2.3989,2.3989,-0.002,0.0,-0.0,0.0,0.0
521.373,1.2341,2.3989,2.3989,0.0013,0.0,0.0,0.0,0.0
521.419,1.234,2.3989,2.3989,-0.0011,0.0,-0.0,0.0,0.0
521.467,1.2341,2.3989,2.3989,0.0013,0.0,0.0,0.0,0.0
521.525,1.2341,2.3989,2.3989,-0.0001,0.0,0.0,0.0,0.0
521.567,1.2341,2.399,2.3989,0.0008,0.0,0.0,0.0,0.0
521.625,1.2341,2.3989,2.3989,-0.0011,0.0,-0.0,0.0,0.0
521.671,1.2341,2.3989,2.3989,0.0002,0.0,-0.0,0.0,0.0
521.717,1.2341,2.399,2.3989,0.0011,0.0,0.0,0.0,0.0
521.775,1.2341,2.3989,2.3989,-0.0009,0.0,-0.0,0.0,0.0
521.823,1.2341,2.3989,2.3989,0.0001,0.0,-0.0,0.0,0.0
521.868,1.2341,2.3989,2.3989,-0.0002,0.0,-0.0,0.0,0.0
